Payment Denial Reason,fraud
REJECTED AS PROCEDURE FOR COSMETIC PURPOSE IS NOT PAYABLE AS PER POLICY TERMS AND CONDITIONS,0
claim denied  as the package blocked for chest tube insertion is inclusive in medical management package  with claim id CASE/HOSP3P53909/PS262189,0
As surgery not done ,1
"OT NOTES AND POST USG NOT ATTACHED, HENCE CLAIM IS BEING REJECTED",1
REJECTED AS WRONG PACKAGE BLOCKED..SKIN GRAFTING DONE,0
CLAIM REJECTED AS PROCEDURE HAS DONE BEFORE APPROVAL,1
Rejected as already approved by Dr Girish on 3rd feb,0
REJECTED AS CLAIM HAS TO BE SUBMITTED WITH IN 15 DAYS,1
QUERY DOCUMENT NOT PROVIDED AFTER QUERIES( DIALYSIS CHART ) HENCE REJECTED ,1
DIALYSIS PACKAGE CAN NOT BE BLOCKED UNDER GENERAL MEDICINE AS NOT CLUBBED WITH ANY OTHER MEDICINE PACKAGE,0
The claim is submitted after 30 days of discharge and hence rejected.,1
"WARD NOT MENTIONED IN VITAL CHARTS, IN ICU BED SIDE PHOTO MONITOR NOT SHOWING ANY PARAMETER, ICU ADMISSION NOT JUSTIFIED , FINAL BILL FOR SELECTED PACKAGE NOT ATTACHED, CLAIM IS BEING REJECTED",1
Already paid PCNL B/L in past hence rejected,1
"Claim submitted by hospital is more than 15 days after patient discharged, hence rejected ",1
CLAIM REJECTED AS HOSPITALIZATION NOT JUSTIFIED HENCE REJECTED,1
"Claim is submitted after 15 days of Discharge of the patient, Hence claim is not Payable",1
PROVIDE TREATMENT CHART,1
CLAIM REJECTED AS PROCEDURE DONE BEFORE APPROVAL,1
PACKAGE BLOCKED IS WRONG HENCE REJECTED,0
REJECTED AS PROCEDURE DONE PRIOR TO APPROVAL,1
"AS PER DISCHARGE SUMMARY,IT WAS MENTIONED AS ALCOHOLIC,AS ALCOHOL WAS EXCLUSION IN SCHEME,AND IN PPD DOCUMENTS IT WAS NOT MENTIONED,HENCE REJECTED ",0
"AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF PT,",1
"AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF THE PT, THEREFORE CLAIM HAVE BEEN REJECTED",1
"Surgery not done, patient referred to other hospital, hence rejected (hospital selected special case type, so amount can not change)",1
"Claims submitted 30 days after the discharge, hence denied",1
Reject as The creatinine is not valid,1
MEDICAL AND SURGICAL PACKAGES CANNOT BE CLUBBED HENCE THIS CALM REJECTED,0
PREAUTH APPROVAL WAS GIVEN FOR TUBERCULOSIS BUT FINAL DIAGNOSIS IS ALD HENCE REJECTED.,0
REJECTED AS DIAGNOSTIC PROCEDURE NOT DONE,0
"CLAIM WAS SUBMITTED AFTER MORE THAN 15 DAYS OF DISCHARGE,HENCE CLAIM IS BEING REJECTED",1
REJECTED AS CLAIM SUBMITTED AFTER15 DAYS,1
ALCOHOLIC AND ITS RELATED DISEASES ARE NOT PAYABLE AS  PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED,0
"PreAuth Initiated after 5 Days of Admission, Mismatch in admission date from Discharge summary and TMS",1
Blocked for surgery but Surgery not done hence rejected,1
The treatment is done at OPD level and hence the claim is rejected.,0
REJECTED. CLAIM IS SUBMITTED AFTER 19 DAYS FROM DATE OF DISCHARGE  OF PATIENT.,1
Approved 1800,0
"Discharge documents submitted after 57 days of discharge, TAT of 30 days for submission of claims is passed out, Hence claim is not Payable",1
query not reverted hence rejected. ,1
Claim submitted after 30 days of discharge of patient hence rejecetd,1
TWO POST USG ARE PROVIDED OF SAME DATE OF 30 JAN 2020 BUT BOTH REPORTS ARE DIFFERENT HOW THIS CAN BE POSSIBLE IN FIRST NO DJ STENT AND IN SECOND THERE IS DJ STENT SO CASE REJECTED,1
"Surgery Not done, Pt referred to other Hospital before surgery Hence claim is not Payable",0
"LAMA BEFORE THE PROCEDURE, HENCE DENIED ",1
CLAIM REJECTED AS GAP OF 15 DAYS FOR BLOCKING SURGICAL PACKAGES HAS NOT COMPLETED AS ALREADY DJ STENTING DONE ON 10/1,1
"As per the past history on same date severe anemia package taken CASE/PS1/HOSP3P10731/PS304353, so BT also covered in that package, hence rejected",1
PREAUTH REJECTED HENCE CASE REJECTED ,1
REJECTED AS IMPLANT REMOVAL CHARGES ARE COVERED IN SURGERY PACKAGE ,0
REJECTED AS SURGERY NOT DONE AND MENTIONED IN CASE SUMMARY PATIENT MANAGED CONSERVATIVELY AND REFERRED TO HIGHER CENTER,1
REJECTED AS PATIENT WAS NOT UNDER MEDICAL ADMISSION..THIS PACKAGE CAN BE CLUBBED ONLY WITH MEDICAL PKG,0
REJECTED AS CLAIM SUBMITTED AFTER  15 DAYS OF DEATH,1
Procedure not performed,1
"BT NOTE AND BILL FOR BT NOT FOUND , REJECTED",1
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE(DOD 17/3/2020 ON D/S),1
"Rejected as the disease is alcohol induced which is clearly given in Summary by treating doctor, and any disease which is caused by alcohol is not covered by this scheme, by NHA guideline",0
REJECTED AS ON REPEATED QUERIES REQUESTED DOCUMENT(DIALYSIS CHART FOR CURRENT DOA)  WAS NOT PROVIDED,1
"Claims is submitted After 15days of discharge of the patient,hence rejected",1
"Already package taken CASE/PS1/HOSP37G26966/PS296801,need for this package is not justified,hence rejected",1
REJECTED TREATMENT FOR AS ALCOHOL INDUCED AILMENTS IS NOT PAYABLE AS PER POLICY EXCLUSIONS,0
"Already package taken CASE/PS1/HOSP37G26966/PS299568,need for this package on same day is not justified,hence rejected",1
"PreAuth is initiated after 5days of admission of patient and also after discharge of patient,hence rejected",1
"PreAuth is raised after 5days of admission of patient and also raised after discharge,Hence rejected",1
REJECTED AS SURGICAL PROCEDURE DONE..APPROVAL CANNOT BE PROVIDED UNDER MEDICAL PACKAGE,0
ORAL CHEMOTHERAPY IS NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED ,0
"AS PATIENT IS CHRONIC ALCOHOLIC.CAN NOT BE PAYBLE AS PER THE ABPMJAY TARIFF,HENCE REJECTED ",0
REJECTED AS PROCEDURE NOT DONE,1
REJECTED AS ONLY ORAL MEDICATION GIVEN AS PER D/S,0
"Claim submitted by hospital is more than 30 days of discharge of patient,hence rejected",1
REJECT AS CLAIM HAS BEEN SUBMITTED AFTER 30 DAYS,1
CASE REJECTED AS PATIENT DIED BEFORE SURGERY ,1
WRONG PACKAGE BLOCKED AS DIALYSIS PACKAGE SAPERATELY CAN ONLY BE BLOCKED UNDER SURGERY HENCE REJECTED,0
ORAL CHEMOTHERAPY IS NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED,0
"rejected,Claim is submitted after 30 days of Discharge of the patient, hence rejected",1
REJECTED AS DIALYSIS NOT DONE,1
REJECTED AS WRONG PACKAGE BLOCKED FOR CONSERVATIVE MNGT,0
"Claim submitted by hospital is more than 15 days of discharge of patient,Hence rejected",1
ALCOHOLIC AND ITS RELATED DISEASES ARE NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED ,0
REJECTED AS PROCEDURE NOT DONE MENTIONED FROM HOSPITAL END,1
Delayed submission claims 30 days after the discharge of the patient. HENCE DENIED,1
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE(DOD 17/3/2020 AS PER DOCUMENT PROVIDED),1
REJECTED AS ADMISSION FOR SURGICAL MNGT..APPROVAL CANNOT BE GIVEN UNDER MEDICAL PKG,0
REJECTED AS PATIENT DELIVERY DONE IN SOME OTHER HOSPITAL,1
"DOA 21/3/20 AND DOD 27/3/20 , CECT ABD ON 29/3/20 , CT MRI ONLY CAN BE CLUBBED WITH MEDICAL PACKAGE, HENCE CLAIM IS BEING REJECTED AS CECT WAS DONE AFTER DISCHARGE FROM MEDICAL PACKAGE.",1
Rejected as the creatinine is not Valid ( 19/2). it should be within the month,1
CLAIM REJECTED AS HOSPITAL PROVIDING SAME PHOTO IN EVERY CASE,1
REJECTED AS ORAL MEDICATION MASKED UP AND OP TO IP CONVERSION CASE,1
"REJECTED,AS THIS PACKAGE CANNOT BE BLOCKED ALONE AS IT HAS TO BE CLUBBED WITH MEDICAL PACKAGE",0
Rejected by SHA,1
SUBSTANCE ABUSE AND ITS RELATED COMPLICATION ARE NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED,0
CLAIM REJECTED AS HOSPITAL PROVIDING SAME PHOTO IN EVERY HD CASE,1
"REJECTED,AS CT HEAD CHARGES ARE NOT COVERED UNDER THIS PACKAGE ",0
"Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient,hence rejected ",1
rejected as after 5 days tat,1
PRE AUTH INITIATED AFTER 5 DAYS OF ADMISSION AFTER PATIENT DISCHARGE HENCE REJECTED,1
"As per the info given, the PRBC transfusion is not done and hence the claim is rejected.",1
Rejected as the preauth is initiated after 5 days of admission and after discharging the  patient,1
"PreAuth is initiated after 5days of admission of the patient and also after discharge,hence rejected",1
REJECTED AS APPROVAL TAKEN ON 31 BUT DIALYSIS DONE ON 30 ,1
DATE MISMATCH IN D/S,0
"AS PER THE JUSTIFICATION PROVIDED , NO BLOOD TRANSFUSION IS DONE AND HENCE THE PACKAGE BLOCKED IS NOT JUSTIFIED . HENCE REJECTED DUE TO MISMATCH PACKAGE.",0
C CLAIM REJECTED AS HOSPITAL PROVIDING SAME PHOTO IN EVERY HD CASE,1
CLAIM REJECTED AS HOSPITAL HAS OPTED FOR PLANNED PROCEDURE AND PROCEDURE DONE BEFORE APPROVAL ,0
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE(DOD ON D/S 29/3/2020),0
REJECTED AS MEDICAL AND SURGICAL PACKAGES ARE CANNOT BE CLUBBED,1
kindly provide treatment chart till Discharge date and vital chart,1
"Pt Admitted on 29th March 2020 at 2 10 pm and referred to Other Hospital at 2 20 pm on same day, ie admitted only for 10 minutes, Hence claim is not Payable",1
"Already a surgical package taken on 1/4/2020 CASE/PS1/HOSP3P63305/PS338498,need for medical package is not justified,hence rejected",0
FINAL BILL 2400 IS MORE THAN PREAUTH AMOUNT 2000 HENCE CLAIM BEING REJECTED,0
KINDLY PROVIDE CLINICAL NOTES OT NOTES AND JUSTIFICATION FOR THE PACKAGE,0
"DOA and DOD is on same day,need for this package is not justified,Hence rejected",1
CLAIM REJECTED  AS POST OP MEDICAL MANAGEMENT COVERED UP TO 7 DAYS POST SURGERY,0
"Multiple query raised for post op KUB x ray film with DJ stent, but not reverted, hence rejected",1
case rejected as preauth initiated post discharge as day care procedure,1
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE DOD 30/3/2020,1
"AS PER THE JUSTIFICATION PROVIDED BY THE HOSPITAL , NO SURGERY IS DONE FOR THIS PATIENT . HENCE REJECTED",1
"After repeated query raised for clinical photo during dialysis for  28/3/2020,old clinical photo provided,hence rejected Photo uploaded has an old date , kindly upload the patient photo during dialysis on 28/3",1
"Case rejected as patient on mainly oral medications and vitals and reports donot justify admission , could have been managed at OPD basis ",1
"PRE AUTH IS INITIATED AFTER 5 DAYS OF ADMISSION AND ALSO AFTER DISCHARGE ,HENCE REJECTED ",1
Echo is payable when done under GA and hence the claim is rejected.,0
REJECTED DUE TO PRE AUTH INITIATED AFTER THE PATIENT DISCHARGE,1
"DATE MISMATCH D/S AND FINAL BILL , REJECTED",1
REJECTED AS PREAUTH IS INITIATED AFTER THE DISCHARGE,1
Rejected as the Preauth is initiated after 5 days of admission and after discharging the patient,1
FRAUDULENT CLAIM,1
"PreAuth is initiated after 5days of admission of the patient,hence rejected",1
REJECTED AS DAY CARE PROCESS PREAUTH HAS TO BE INITIATED ON SAME DAY OF PROCEDURE,1
"REJECTED,EXEMPTION FROM POLICY AS PER NHA GUIDELINE",0
"In past history already severe anemia package taken CASE/PS1/HOSP3P27593/PS331348, so BT also included in that package hence rejected",0
REJECTED AS NO CT/MRI DONE,1
patient pic does not match,1
REJECTED AS NO PROPER DOCUMENT IS UPLOADED EVEN AFTER THE MANY QUERIES,1
REJECTED AS NO TRANSFUSION DONE,1
REJECTED AS Intentional self-injury/suicide not payable by insurance,0
QUERY IS ASKED FOR HD CHART OF 28/3/2020 AND WHICH IS NOT PROVIDED EVEN AFTER ASKING FOR MULTIPLE TIMES . HENCE REJECTED.,1
AS POST OP X RAY IS A MANDATORY DOCUMENT AND IT IS NOT PROVIDE AFTER ASKING FOR MULTIPLE TIMES. HENCE REJECTED.,1
CLAIM REJECTED AS SURGICAL AND MEDICAL PACKAGE CAN NOT BE CLUBBED TOHETHER,0
REJECTED AS SELF INFLICTED INJURIES AND POISONING IS NOT PAYABLE AS PER POLICY EXCLUSIONS,0
REJECTED AS MISMATCHED DATES ON DISCHARGE SUMMARY WITH DIALYSIS CHART,1
QUERY IS ASKED FOR THE DIALYSIS CHART OF 23/3/2020 AND IT IS NOT PROVIDED EVEN AFTER ASKING FOR MULTIPLE TIMES. HENCE REJECTED.,1
"IN past history already surgical package taken CASE/PS1/HOSP3P16183/PS323344, hip replacement, so as per the tender post op medical package also covered in surgical package, hence rejected",0
REJECTED AS NO DURING DIALYSIS PHOTO IS PROVIDED,1
KINDLY REVERT WITH DAYWISE VITAL AND TREATMENT CHARTS,0
REJECTED AS FOR PLANNED PROCEDURE PATIENT WAS DISCHARGED BEFORE PREAUTH APPROVAL,1
"REJECTED, AS CT CHARGES ARE NOT COVERED UNDER THIS PACKAGE ",0
AS QUERY IS ASKED FOR POST OP X RAY FILM WHICH IS A MANDATORY DOCUMENT AND IT IS NOT PROVIDED EVEN AFTER ASKING FOR MULTIPLE TIMES AND AS THE HOSPITAL ONLY GIVEN PRE OP X RAY FILM.HENCE REJECTED.,1
REJECTED AS DURING DIALYSIS PROCEDURE IS PROVIDED,1
HOSPITAL HAS OPTED FOR PLANNED PROCEDURE AND PROCEDURE DONE BEFORE APPROVAL HENCE REJECTED,1
"Already a surgical package taken CASE/PS1/HOSP3P49877/PS323157,post operative hospitalization included in package,hence rejected",0
REJECTED AS CONSERVATIVE MNGT OF POST OP COMPLICATION TILL 15 DAYS IS COVERED UNDER SURGERY PACKAGE,0
REJECTED CKD PATIENT CANT BLOCK THIS PACKAGE,0
"Query raised for BT notes and cross matching slip but not provided, hence rejected",1
CLAIM REJECTED AS SAME PHOTO PROVIDED ON 06/04 CLAIM,1
"QUERY IS ASKED FOR  HD CHART OF 27/3/2020 AND IT WAS NOT PROVIDED EVEN AFTER ASKING FOR MANY TIMES , HENCE REJECTED.",1
REJECTED AS HOSPITAL PROVIDING SAME PHOTO IN EVERY CASE,1
REJECTED AS NO SURGERY DONE,0
CASE REJECTED AS CT WAS NOT DONE,1
"AFTER 3 QUERY HOSPITAL NOT PROVIDE FINAL BILL,  HENCE CLAIM IS BEING REJECTED",1
"REJECTED AS Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient,",1
REJECTED AS PREAUTH RAISED AFTER DISCHARGE,1
REJECTED AS ALTERNATE DAY TREATMENT WAS GIVEN AS PER DOCUMENTS PROVIDED,0
Note number of hospitalisation opted is less than proposed no of days .rejected,1
Preauth initiated after 5 days of admisison and after discharge hence rejected,1
"REJECTED, AS PATIENT IS NOT IN THE HOSPITAL , HENCE REJECTED ",1
ALREADY QUERY IS ASKED FOR HD CHART AND QUERY IS RAISED FOR MULTIPLE TIMES AND QUERY DOCUMENT IS NOT PROVIDED. HENCE REJECTED.,1
REJECTED AS PLANNED PROCEDURE WAS DONE BEFORE PREAUTH APPROVAL(POST OP X RAY WAS DATED 20/3),1
FINAL BILL 25740 IS MORE THAN PREAUTH AMOUNT 19800 HENCE CLAIM BEING REJECTED,0
MEDICAL MANAGEMENT CANNOT BE GIVEN UNDER U 100 HENCE REJECTED,0
"Already surgical package taken CASE/PS1/HOSP3P23204/PS332640, so medical package not justified, hence rejected ",1
claim rejected as hospital has provided same photo of patient in every dialysis case ,1
REJECTED AS PATIENT READMITTED FOR SURGERY ON 31/3 AND PREOPERATIVE 5 DAYS BEFORE IS PART OF PACKAGE,0
"BT NOTES AND FINAL BILL FOR BT NOT ATTACHED, HENCE CLAIM IS BEING REJECTED",0
"BLOOD TRANSFUSION HAS TO BE COVERED UNDER SURGICAL PACKAGE ITSELF, HENCE DENIED ",0
Rejected as the submission is beyond the period of 15 days.,1
REJECTED AS PRE AUTH INITIATED AFTER 5 DAYS OF ADMISSION ,1
"AS PER D/S PATIENT MANAGED CONSERVATIVELY , AND PROCEDURE NOT MENTIONED IN D/S. HENCE CLAIM IS BEING REJECTED ",1
AS ONE MORE PREAUTH INITIATED BLOCKING SAME FOR DOA ,1
The claim is rejected due to the following reasons 1) Previous claim for the same DOA is rejected due to fraud 2) Back dated pre auth initiation is not allowed.,1
REJECTED AS PREAUTH INITIATED AFTER 15 DAYS,1
"ALD WAS DIAGNOSIS IN SUMMARY ,NOT MENTIONED IN PRE AUTH,ALCOHOL IS EXCLUSION,NOT PAYABLE HENCE REJECTED  ",1
REJECTED AS SAME PHOTO UPLOADED IN PREVIOUS CASE ALSO,1
FINAL BILL 17820 IS MORE THAN PREAUTH AMOUNT 11880 HENCE CLAIM BEING REJECTED,0
PRE AUTH INITIATED AFTER 5 DAYS OF ADMISSION AND AFTER DISCHARGE HENCE THIS CLAIM IS REJECTED,1
"HD CHART OF SAME DATE OF ENHANCEMENT NOT PROVIDED,HENCE REJECTED ",0
"DOA 29/3/20 DOD 3/4/20 , LOS 5 DAYS AND NO NEW STEP DOWN PACKAGE TAKEN AFTER DISCHARGE FROM THIS PACKAGE , MINIMUM 14 DAYS STAY IS REQUIRED UNDER THIS PACKAGE AS PER PACKAGE CRITERIA, HENCE CLAIM IS BEING REJECTED",0
REJECTED AS ON ORAL MEDICATION AL VITALS NORMAL THEN NO NEED OF IPD CAN BE MANAGED IN OPD ,0
REJECTED AS ALCOHOL RELATED AILMENTS ARE NOT PAYABLE AS PER POLICY EXCLUSIONS,0
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim have been rejected",1
"AS PER AUDIT REPORT,NO SPECIALIST AVAILABLE IN THIS HOSPITAL ,HENCE REJECTED  ",0
